,Names,Prices,Stars,Numbers of guests,Numbers of bedroom,Numbers of beds,Number of Reviews,Rate of reviews
0,Tiny home in Maadi as Sarayat Al Gharbeyah,$112 ,5.0 (21),2 guests  ,  1 bedroom  ,  1 bed  ,-21,5
1,Villa in Hurghada,$202 ,New,6 guests  ,  3 bedrooms  ,  4 beds  ,New,New
2,Loft in Maadi as Sarayat Al Gharbeyah,$44 ,5.0 (10),1 guest  ,  1 bedroom  ,  1 bed  ,-10,5
3,Home in Hurghada,$575 ,5.0 (4),8 guests  ,  4 bedrooms  ,  6 beds  ,-4,5
4,Private room in Maadi as Sarayat Al Gharbeyah,$32 ,4.69 (13),2 guests  ,  1 bedroom  ,  1 bed  ,-13,4.6
5,Apartment in Hurghada 2,$48 ,New,2 guests  ,  1 bedroom  ,  1 bed  ,New,New
6,Villa in Ù‚Ø³Ù… Ø§Ù„ØºØ±Ø¯Ù‚Ø©,$240 ,4.6 (10),6 guests  ,  3 bedrooms  ,  5 beds  ,-10,4.6
7,Loft in Maadi as Sarayat Al Gharbeyah,$228 ,New,5 guests  ,  4 bedrooms  ,  4 beds  ,New,New
8,Villa in Hurghada,$161 ,5.0 (6),6 guests  ,  2 bedrooms  ,  4 beds  ,-6,5
9,Apartment in Dahab,$88 ,5.0 (97),5 guests  ,  2 bedrooms  ,  2 beds  ,-97,5
10,Condo in Hurghada,$88 ,4.96 (25),5 guests  ,  2 bedrooms  ,  3 beds  ,-25,4.9
11,Condo in Dahab,$81 ,4.78 (103),4 guests  ,  1 bedroom  ,  4 beds  ,103),4.7
12,Apartment in Second Hurghada,$66 ,5.0 (27),3 guests  ,  1 bedroom  ,  1 bed  ,-27,5
13,Apartment in Al Mandarah Bahri,$103 ,4.97 (30),7 guests  ,  3 bedrooms  ,  4 beds  ,-30,4.9
14,Apartment in Hurghada,$66 ,4.94 (52),4 guests  ,  1 bedroom  ,  1 bed  ,-52,4.9
15,Apartment in El Gouna,$87 ,4.99 (93),4 guests  ,  1 bedroom  ,  2 beds  ,-93,4.9
16,Apartment in Hurghada,$160 ,5.0 (42),6 guests  ,  2 bedrooms  ,  3 beds  ,-42,5
17,Villa in Hurghada,$141 ,5.0 (15),14 guests  ,  5 bedrooms  ,  8 beds  ,-15,5
18,Apartment in Second Hurghada,$111 ,4.92 (61),6 guests  ,  2 bedrooms  ,  2 beds  ,-61,4.9
19,Apartment in Al Mazar,$63 ,4.6 (25),4 guests  ,  1 bedroom  ,  3 beds  ,-25,4.6
20,Apartment in Dahab Qesm Saint Katrin,$81 ,4.96 (26),3 guests  ,  1 bedroom  ,  1 bed  ,-26,4.9
21,Apartment in Al Mesallah Sharq,$46 ,4.75 (55),5 guests  ,  2 bedrooms  ,  4 beds  ,-55,4.7
22,Dome in Luxor,$84 ,4.9 (118),12 guests  ,  5 bedrooms  ,  7 beds  ,118),4.9
23,Apartment in Hurghada,$77 ,4.73 (45),3 guests  ,  1 bedroom  ,  2 beds  ,-45,4.7
24,Apartment in Luxor Governorate,$43 ,4.96 (216),4 guests  ,  2 bedrooms  ,  3 beds  ,216),4.9
25,Home in Hurghada,$138 ,4.5 (215),6 guests  ,  3 bedrooms  ,  3 beds  ,215),4.5
26,Apartment in Maadi as Sarayat Al Gharbeyah,$74 ,4.6 (45),2 guests  ,  1 bedroom  ,  1 bed  ,-45,4.6
27,Villa in Hurghada,$191 ,4.92 (60),8 guests  ,  3 bedrooms  ,  5 beds  ,-60,4.9
28,Villa in Qesm Hurghada,$220 ,4.84 (45),6 guests  ,  3 bedrooms  ,  6 beds  ,-45,4.8
29,Apartment in El Gouna,$102 ,4.87 (85),4 guests  ,  1 bedroom  ,  2 beds  ,-85,4.8
30,Apartment in South Sinai Governorate,$63 ,4.76 (58),6 guests  ,  2 bedrooms  ,  4 beds  ,-58,4.7
31,Apartment in First Hurghada,$41 ,4.85 (20),3 guests  ,  1 bedroom  ,  2 beds  ,-20,4.8
32,Private room in Cairo Governorate,$30 ,5.0 (63),2 guests  ,  1 bedroom  ,  2 beds  ,-63,5
33,Home in Hurghada,$327 ,4.9 (49),6 guests  ,  3 bedrooms  ,  5 beds  ,-49,4.9
34,Apartment in Qesm Sharm Ash Sheikh,$52 ,4.94 (33),5 guests  ,  2 bedrooms  ,  6 beds  ,-33,4.9
35,Apartment in Qesm Saint Katrin,$75 ,4.77 (75),4 guests  ,  1 bedroom  ,  2 beds  ,-75,4.7
36,Home in Dahab,$95 ,4.91 (75),2 guests  ,  1 bedroom  ,  1 bed  ,-75,4.9
37,Apartment in Qesm Sharm Ash Sheikh,$35 ,4.93 (55),3 guests  ,  1 bedroom  ,  1 bed  ,-55,4.9
38,Tiny home in El-Montaza,$62 ,4.91 (74),3 guests  ,  1 bedroom  ,  1 bed  ,-74,4.9
39,"Townhouse in Qesm Hurghada, ",$70 ,4.82 (66),6 guests  ,  2 bedrooms  ,  4 beds  ,-66,4.8
40,Tiny home in El-Montaza,$62 ,4.91 (74),3 guests  ,  1 bedroom  ,  1 bed  ,-74,4.9
41,"Townhouse in Qesm Hurghada, ",$70 ,4.82 (66),6 guests  ,  2 bedrooms  ,  4 beds  ,-66,4.8
42,Apartment in Hurghada,$180 ,4.97 (106),4 guests  ,  1 bedroom  ,  3 beds  ,106),4.9
43,Apartment in Dahab,$67 ,4.97 (95),3 guests  ,  1 bedroom  ,  1 bed  ,-95,4.9
44,Apartment in Hurghada,$49 ,4.95 (39),3 guests  ,  1 bedroom  ,  2 beds  ,-39,4.9
45,Vacation home in Hurghada,$28 ,New,3 guests  ,  Studio  ,  1 bed  ,New,New
46,Apartment in Dahab,$67 ,4.98 (110),3 guests  ,  1 bedroom  ,  1 bed  ,110),4.9
47,Home in Dahab,$40 ,4.96 (51),3 guests  ,  1 bedroom  ,  1 bed  ,-51,4.9
48,Townhouse in Ikingi Maryut,$52 ,4.96 (47),5 guests  ,  3 bedrooms  ,  3 beds  ,-47,4.9
49,Apartment in Ø§Ù„ØºØ±Ø¯Ù‚Ø©,$42 ,4.5 (8),2 guests  ,  Studio  ,  1 bed  ,-8,4.5
50,Apartment in Luxor,$31 ,4.89 (112),4 guests  ,  2 bedrooms  ,  3 beds  ,112),4.8
51,Apartment in Qesm Sharm Ash Sheikh,$22 ,4.67 (61),2 guests  ,  Studio  ,  1 bed  ,-61,4.6
52,Home in Fayoum,$94 ,4.99 (106),4 guests  ,  2 bedrooms  ,  4 beds  ,106),4.9
53,Home in Hurghada,$295 ,4.9 (39),6 guests  ,  4 bedrooms  ,  4 beds  ,-39,4.9
54,Townhouse in First 6th of October,$154 ,4.78 (9),6 guests  ,  3 bedrooms  ,  3 beds  ,-9,4.7
55,Apartment in New Cairo City,$47 ,4.71 (42),2 guests  ,  1 bedroom  ,  1 bed  ,-42,4.7
56,Apartment in Hurghada,$14 ,4.73 (30),2 guests  ,  Studio  ,  2 beds  ,-30,4.7
57,Private room in Maadi ,$35 ,4.96 (183),2 guests  ,  1 bedroom  ,  1 bed  ,183),4.9
58,Apartment in EG,$16 ,4.86 (36),2 guests  ,  Studio  ,  1 bed  ,-36,4.8
59,Apartment in Hurghada,$33 ,4.83 (29),4 guests  ,  1 bedroom  ,  4 beds  ,-29,4.8
