,Names,Prices,Reviews,Numbers of guests,Numbers of bedroom,Numbers of beds
0,Tiny home in Maadi as Sarayat Al Gharbeyah,$112 ,5.0 (21),2 guests  ,  1 bedroom  ,  1 bed  
1,Villa in Hurghada,$202 ,New,6 guests  ,  3 bedrooms  ,  4 beds  
2,Loft in Maadi as Sarayat Al Gharbeyah,$44 ,5.0 (10),1 guest  ,  1 bedroom  ,  1 bed  
3,Home in Hurghada,$575 ,5.0 (4),8 guests  ,  4 bedrooms  ,  6 beds  
4,Private room in Maadi as Sarayat Al Gharbeyah,$32 ,4.69 (13),2 guests  ,  1 bedroom  ,  1 bed  
5,Apartment in Hurghada 2,$48 ,New,2 guests  ,  1 bedroom  ,  1 bed  
7,Loft in Maadi as Sarayat Al Gharbeyah,$228 ,New,5 guests  ,  4 bedrooms  ,  4 beds  
8,Villa in Hurghada,$161 ,5.0 (6),6 guests  ,  2 bedrooms  ,  4 beds  
9,Apartment in Dahab,$88 ,5.0 (97),5 guests  ,  2 bedrooms  ,  2 beds  
10,Condo in Hurghada,$88 ,4.96 (25),5 guests  ,  2 bedrooms  ,  3 beds  
11,Condo in Dahab,$81 ,4.78 (103),4 guests  ,  1 bedroom  ,  4 beds  
12,Apartment in Second Hurghada,$66 ,5.0 (27),3 guests  ,  1 bedroom  ,  1 bed  
13,Apartment in Al Mandarah Bahri,$103 ,4.97 (30),7 guests  ,  3 bedrooms  ,  4 beds  
14,Apartment in Hurghada,$66 ,4.94 (52),4 guests  ,  1 bedroom  ,  1 bed  
15,Apartment in El Gouna,$87 ,4.99 (93),4 guests  ,  1 bedroom  ,  2 beds  
16,Apartment in Hurghada,$160 ,5.0 (42),6 guests  ,  2 bedrooms  ,  3 beds  
17,Villa in Hurghada,$141 ,5.0 (15),14 guests  ,  5 bedrooms  ,  8 beds  
18,Apartment in Second Hurghada,$111 ,4.92 (61),6 guests  ,  2 bedrooms  ,  2 beds  
19,Apartment in Al Mazar,$63 ,4.6 (25),4 guests  ,  1 bedroom  ,  3 beds  
20,Apartment in Dahab Qesm Saint Katrin,$81 ,4.96 (26),3 guests  ,  1 bedroom  ,  1 bed  
21,Apartment in Al Mesallah Sharq,$46 ,4.75 (55),5 guests  ,  2 bedrooms  ,  4 beds  
22,Dome in Luxor,$84 ,4.9 (118),12 guests  ,  5 bedrooms  ,  7 beds  
23,Apartment in Hurghada,$77 ,4.73 (45),3 guests  ,  1 bedroom  ,  2 beds  
24,Apartment in Luxor Governorate,$43 ,4.96 (216),4 guests  ,  2 bedrooms  ,  3 beds  
25,Home in Hurghada,$138 ,4.5 (215),6 guests  ,  3 bedrooms  ,  3 beds  
26,Apartment in Maadi as Sarayat Al Gharbeyah,$74 ,4.6 (45),2 guests  ,  1 bedroom  ,  1 bed  
27,Villa in Hurghada,$191 ,4.92 (60),8 guests  ,  3 bedrooms  ,  5 beds  
